CO,POLICYNO,RECTYP,ACTYR,ACTMO,DEPEFFYR,DEPEFFMO,DEPEFFDAY,DEPLDGYR,DEPLDGMO,DEPLDGDAY,DEPAMOUNT,PREMIND
GALIC,2027908,24,2018,6,2018,6,15,2018,6,15,-10000,S
GALIC,2028029,24,2018,6,2018,6,5,2018,6,5,-417.61,S
GALIC,2028188,24,2018,6,2018,6,17,2018,6,18,-159.35,S
GALIC,2028547,24,2018,6,2018,6,25,2018,6,26,20,P
GALIC,2028547,24,2018,6,2018,6,15,2018,6,15,20,P
GALIC,2028547,24,2018,6,2018,6,1,2018,6,1,20,P
GALIC,2028735,24,2018,6,2018,6,20,2018,6,20,300,P
GALIC,2028794,24,2018,6,2018,6,15,2018,6,15,-3345.08,S
GALIC,2028916,24,2018,6,2018,6,15,2018,6,15,-40.82,S
GALIC,2029221,24,2018,6,2018,6,27,2018,6,27,-193.32,S
GALIC,2029225,24,2018,6,2018,6,15,2018,6,15,50,P
GALIC,2029225,24,2018,6,2018,6,1,2018,6,1,50,P
GALIC,2029531,24,2018,6,2018,6,13,2018,6,13,50,P
GALIC,2029593,24,2018,6,2018,6,28,2018,6,28,50,P
GALIC,2029593,24,2018,6,2018,6,14,2018,6,14,50,P
GALIC,2029593,24,2018,6,2018,6,5,2018,6,5,50,P
GALIC,2029708,24,2018,6,2018,6,20,2018,6,26,0,S
GALIC,2029998,24,2018,6,2018,6,20,2018,6,20,-104.88,S
GALIC,2030283,24,2018,6,2018,6,27,2018,6,27,-114.37,S
GALIC,2030364,24,2018,6,2018,6,1,2018,6,1,-138.51,S
GALIC,2030371,24,2018,6,2018,6,15,2018,6,15,-2129.62,S
GALIC,2030380,24,2018,6,2018,6,18,2018,6,21,996.22,S
GALIC,2030380,24,2018,6,2018,6,18,2018,6,18,-996.22,S
GALIC,2030403,24,2018,6,2018,6,11,2018,6,11,2000,P
GALIC,2030438,24,2018,6,2018,6,21,2018,6,21,100,P
GALIC,2030479,24,2018,6,2018,6,27,2018,6,27,-427.29,S
GALIC,2030597,24,2018,6,2018,6,25,2018,6,25,104,P
GALIC,2030597,24,2018,6,2018,6,12,2018,6,12,104,P
GALIC,2030656,24,2018,6,2018,6,20,2018,6,20,350,P
GALIC,2030656,24,2018,6,2018,6,6,2018,6,6,350,P
GALIC,2030687,24,2018,6,2018,6,25,2018,6,25,30,P
GALIC,2030687,24,2018,6,2018,6,11,2018,6,11,30,P
GALIC,2030717,24,2018,6,2018,6,5,2018,6,5,199,P
GALIC,2030744,24,2018,6,2018,6,19,2018,6,19,32.5,P
GALIC,2030744,24,2018,6,2018,6,5,2018,6,5,32.5,P
GALIC,2030798,24,2018,6,2018,6,11,2018,6,11,100,P
GALIC,2030935,24,2018,6,2018,6,19,2018,6,19,650,P
GALIC,2030935,24,2018,6,2018,6,6,2018,6,6,650,P
GALIC,2031070,24,2018,6,2018,5,14,2018,6,20,14359.84,S
GALIC,2031070,24,2018,6,2018,5,6,2018,6,20,-14336.78,S
GALIC,2031084,24,2018,6,2018,6,15,2018,6,15,-180.44,S
GALIC,2031106,24,2018,6,2018,6,26,2018,6,26,325,P
GALIC,2031106,24,2018,6,2018,6,12,2018,6,12,325,P
GALIC,2031231,24,2018,6,2018,6,27,2018,6,27,-2155.4,S
GALIC,2031409,24,2018,6,2018,6,11,2018,6,11,400,P
GALIC,2031806,24,2018,6,2018,6,27,2018,6,27,1334,P
GALIC,2032247,24,2018,6,2018,6,20,2018,6,20,2500,P
GALIC,2032253,24,2018,6,2018,6,15,2018,6,15,-21.34,S
GALIC,2032271,24,2018,6,2018,6,1,2018,6,1,-857.52,S
GALIC,2032286,24,2018,6,2018,6,29,2018,6,29,75,P
GALIC,2032286,24,2018,6,2018,6,25,2018,6,25,25,P
GALIC,2032286,24,2018,6,2018,6,8,2018,6,8,25,P
GALIC,2032521,24,2018,6,2018,6,27,2018,6,27,-6365.11,S
GALIC,2032569,24,2018,6,2018,6,27,2018,6,27,50,P
GALIC,2032569,24,2018,6,2018,6,13,2018,6,13,50,P
GALIC,2032785,24,2018,6,2018,6,27,2018,6,27,-1647.85,S
GALIC,2032806,24,2018,6,2018,6,5,2018,6,5,300,P
GALIC,2032989,24,2018,6,2018,6,26,2018,6,26,150,P
GALIC,2032989,24,2018,6,2018,6,12,2018,6,12,150,P
GALIC,2033078,24,2018,6,2018,6,28,2018,6,28,-12000,S
GALIC,2033365,24,2018,6,2018,6,26,2018,6,26,150,P
GALIC,2033365,24,2018,6,2018,6,11,2018,6,11,150,P
GALIC,2033451,24,2018,6,2018,6,6,2018,6,6,20,P
GALIC,2033499,24,2018,6,2018,6,25,2018,6,25,-861.78,S
